"location","lon","lat","date","region","travel","roles"
"Bath, UK",-2.3599039,51.375801,"06/01/2016 10:27:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Organising a satRday"
"Chippenham, UK",-2.1195157,51.461514,"06/01/2016 10:28:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Helping improve the website"
"Southampton, UK",-1.4043509,50.9097004,"06/01/2016 10:40:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday, Helping out a satRday, Helping publicise the events"
"Cardiff, UK",-3.17909,51.481581,"06/01/2016 10:42:00","EMEA (EU, Middle East & Africa)","To anywhere in the the world","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday, Helping improve the website, Helping with central organisation"
"Cardiff, Wales",-3.17909,51.481581,"06/01/2016 10:42:00","EMEA (EU, Middle East & Africa)","To anywhere in the the world","Attending a satRday, Helping out a satRday, Helping publicise the events, Organising a satRday, Helping improve the website, Helping with central organisation"
"Ljubljana, Slovenia",14.5057515,46.0569465,"06/01/2016 10:43:00","EMEA (EU, Middle East & Africa)","To anywhere in my continent","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday"
"Santiago, Chile",-70.6298313,-33.4727879,"06/01/2016 10:46:00","LATAM (Latin America)","To anywhere in the the world","Attending a satRday, Helping out a satRday, Helping improve the website"
"Cwmbran, UK",-3.0317889,51.6496546,"06/01/2016 11:00:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday, Helping out a satRday, Helping publicise the events"
"norwich, uk",1.297355,52.6308859,"06/01/2016 11:28:00","EMEA (EU, Middle East & Africa)","To anywhere in the the world","Helping out a satRday, Presenting at a satRday"
"London, UK",-0.1277583,51.5073509,"06/01/2016 11:55:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday"
"Miami, USA",-80.1917902,25.7616798,"06/01/2016 11:58:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday, Helping improve the website"
"Glasgow, UK (Scotland)",-4.251806,55.864237,"06/01/2016 12:09:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday, Helping out a satRday, Helping publicise the events, Organising a satRday"
"Harrisonburg, Virginia",-78.8689155,38.4495688,"06/01/2016 12:22:00","NA (North America)","To anywhere in the the world","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday"
"Cardiff, Wales, UK",-3.17909,51.481581,"06/01/2016 12:29:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday, Helping out a satRday, Presenting at a satRday"
"London, United Kingdom",-0.1277583,51.5073509,"06/01/2016 12:29:00","EMEA (EU, Middle East & Africa)","To anywhere in the the world","Helping publicise the events, Presenting at a satRday, Organising a satRday, more strategic discussions, directions etc."
"Houston, TX, USA",-95.3698028,29.7604267,"06/01/2016 12:33:00","NA (North America)","To anywhere in my country","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday"
"London, UK",-0.1277583,51.5073509,"06/01/2016 12:34:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday"
"Cardiff, United Kingdom",-3.17909,51.481581,"06/01/2016 12:34:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Helping with central organisation"
"Cardiff, UK",-3.17909,51.481581,"06/01/2016 12:58:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Cardiff, UK",-3.17909,51.481581,"06/01/2016 13:07:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping publicise the events"
"London, UK",-0.1277583,51.5073509,"06/01/2016 13:08:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday"
"Ghent, Belgium",3.7174243,51.0543422,"06/01/2016 13:16:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday"
"Lexington, KY, USA",-84.5037164,38.0405837,"06/01/2016 13:33:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday"
"Lexington, KY",-84.5037164,38.0405837,"06/01/2016 13:44:00","NA (North America)","To my nearest city","Attending a satRday"
"Lexington, USA",-84.5037164,38.0405837,"06/01/2016 13:52:00","NA (North America)","To my nearest city","Attending a satRday"
